,title_id,cluster,acquiring_power,title_name
0,GYsYeoAxKH8LCwgEAAAOR,1,17738758.0,House of the Dragon
1,GXKN_xQX5csPDwwEAAABj,3,19389835.0,Euphoria
2,GXr7SEgRi2sLCAAEAAAQu,6,13158816.0,South Park
3,GXdbR_gOXWJuAuwEAACVH,3,11635267.0,Friends
4,GVU2cggagzYNJjhsJATwo,1,15997434.0,Game of Thrones
5,GYiDbSAmIpMNvYAEAAAAI,7,16205823.0,The Batman
6,GXkRjxwjR68PDwwEAABKJ,6,11497910.0,Rick and Morty
7,GXdRsewUPO5uAuwEAABEI,3,9077039.0,The Big Bang Theory
8,GVU2cCgUFTYNJjhsJATuH,2,5234244.0,Last Week Tonight With John Oliver
9,GX5MHsQzwwIuLwgEAAACp,2,12137908.0,The Flight Attendant
10,GYbDO6QFHOsPCwgEAAAMR,2,5165286.0,Winning Time: The Rise of the Lakers Dynasty
11,GYb0FKQLsGIyPfQEAAAAM,5,9417136.0,Peacemaker
12,GV7xwpQNK8MJfPwEAAAG_,1,8439306.0,Westworld
13,GYdYmPQZFO7eZGAEAAAAT,5,8759774.0,Free Guy
14,GWmKDEwGrA8JInwEAAAL6,2,5984132.0,Barry
15,GYij31wBohZA3MQEAAAKa,5,9490771.0,Fantastic Beasts: The Secrets of Dumbledore
16,GYZLijQsvoJKWWQEAAAB6,2,5660398.0,The Gilded Age
17,GYeGXugg4ewPCwgEAABi1,5,8066056.0,The King's Man
18,GYYxBtQFFnmbDBwEAAAAE,3,9640912.0,And Just Like That...
19,GYk93MwWuH4BJoAEAAABu,2,5966204.0,The Staircase
20,GXRuC4gJdpm2YwgEAAAF_,6,5810542.0,The Righteous Gemstones
21,GYfim_QUVfBqboQEAAAC-,4,7329403.0,F9: The Fast Saga
22,GVU2b9AHpHo7DwvwIAT4i,2,8295052.0,The Sopranos
23,GYiaPwAgBBJuGtwEAAAFs,1,6898897.0,Old
24,GYuwmqAnwQZa8kAEAAAE-,1,10432382.0,Elvis
25,GXssCvwxYD76jiAEAAAAy,5,13298698.0,Harry Potter and the Sorcerer's Stone (2001)
26,GXrMEtQ8sromBSgEAAAK1,7,6922574.0,The Boondocks
27,GXodE-Q8aYbDCYwEAAAQT,1,1656325.0,Dune (1984)
28,GYUjdLgBiJp5otAEAAAAJ,1,15651154.0,Dune
29,GYIBToQrPdotpNQEAAAEa,2,5790511.0,Hacks
30,GX0WFcAlf5r5cuAEAAADu,1,7015593.0,Raised by Wolves
31,GYnXC6AfPOsPCwgEAAAAb,3,5823195.0,Father of the Bride
32,GXyINwwZTCZ28vgEAAAIb,3,128604.0,Father of the Bride (1950)
33,GVU2eMAEI2I7DwvwIAUDI,2,3310432.0,Real Time With Bill Maher
34,GXxis0w4EP8N_vAEAAACO,7,4767627.0,Harley Quinn
35,GYh5pMgWVA8LDdQEAAACt,2,3745016.0,We Own This City
36,GYipQZAsSX62ztwEAAAK2,1,5679849.0,Death on the Nile
37,GYf3LzwJV98JifQEAAAAO,2,4118648.0,Our Flag Means Death
38,GXssMIAadRcNMvwEAAAA7,5,10703726.0,Harry Potter and the Chamber of Secrets (2002)
39,GYLAIrgJoPrlNiAEAAADg,6,4408186.0,Impractical Jokers
40,GXdMTbQrnTaXCPQEAAA9W,3,4546902.0,Pretty Little Liars
41,GXssObwqZrVVGwwEAAABI,5,10189217.0,Harry Potter and the Prisoner of Azkaban (2003)
42,GYafcQAb_rbGrOQEAAAAp,5,6543155.0,Nobody
43,GXN3M3Q6SSMLDwgEAAAN7,5,6014094.0,Fantastic Beasts: The Crimes of Grindelwald
44,GYt_9-AbG4b3CaQEAAAy3,5,6618211.0,Moonfall
45,GVU2bygQ1go7DwvwIAT3r,2,5959552.0,Curb Your Enthusiasm
46,GXssOeAtVmlVGwwEAAABR,5,9821011.0,Harry Potter and the Goblet of Fire (2004)
47,GXssTNAEn61VGwwEAAABn,5,5830482.0,Fantastic Beasts and Where to Find Them
48,GWukCJAq-nIuHwwEAAAB4,2,9064063.0,Succession
49,GYgbcAQusfLYbrQEAAAeJ,5,4780764.0,The Forever Purge
50,GX3ZDNQA_j8LCSgEAAAXR,7,3269295.0,Young Justice
51,GYJlJDwG96Q_DwgEAAAA1,5,5967483.0,Jurassic Park
52,GXssPaAiBJ1VGwwEAAABW,5,9141327.0,Harry Potter and the Order of the Phoenix
53,GXl20QAK1sTC3wwEAAB4I,7,3909940.0,Regular Show
54,GYfinBwyKBImYsgEAAACn,5,4975153.0,Halloween Kills
55,GYtrNxwgR9sLCwgEAAAxf,2,2738595.0,Hard Knocks: Training Camp
56,GXssQ0A7HLFVGwwEAAABc,5,8769082.0,Harry Potter and the Half-Blood Prince(2009)
57,GXkyElw3j2J4_wwEAAAQa,7,3976615.0,The Amazing World of Gumball
58,GVU2cAAPSJoNJjhsJATt6,3,4995770.0,Sex and the City
59,GXmAuwAxxXp4_wwEAACh0,7,3973758.0,Adventure Time
60,GYeB2LgKJ1cIOjAEAAABQ,1,4403959.0,Kimi (2022)
61,GYFEzmwNES16GkQEAAAAC,5,18089729.0,Godzilla vs. Kong
62,GXyL-rA27qcJ6pQEAAADP,3,4603362.0,Young Sheldon
63,GYjCvngVdSMN1qAEAAABb,3,2988977.0,The Time Traveler's Wife
64,GYTt7RAvZw7gTsAEAAAHi,5,,The Suicide Squad
65,GYOxtow3Wz8PDwgEAAAdw,5,16550315.0,The Suicide Squad
66,GYip0jQfJ7MPDDQEAAAAD,2,2434306.0,Julia
67,GX_Z4kAgTsrqkwgEAAAAC,5,8434964.0,Aquaman
68,GYilRbQBlfrurwgEAAAH0,2,2885912.0,Tokyo Vice
69,GYV3u-gHh-C9FwgEAAACd,7,2615737.0,Teen Titans Go!
70,GYK0xWAMIRXXCMAEAAAB4,7,,Teen Titans Go!
71,GYabfeQrMwLqFugEAAAAC,5,7140440.0,Hitman's Wife's Bodyguard
72,GXssRwQHfmVVGwwEAAABi,5,8141213.0,Harry Potter and the Deathly Hallows: Part 1
73,GX07YPQvW3nOVpQEAAAEs,4,5482315.0,Friday
74,GYdXd4AKw_FOmOwEAAAAd,6,2114422.0,Smiling Friends
75,GYiSBwQfVTLurwgEAAAAX,2,2232236.0,Minx
76,GX-EdhwKKy5rDwwEAAACK,3,4061738.0,Gossip Girl (2007)
77,GYR1YhQ7-C7iVuQEAAAj-,4,6454278.0,We're the Millers
78,GXssRwQESq8NMvwEAAABY,5,7697895.0,Harry Potter and the Deathly Hallows: Part 2
79,GYXB0OgEQO5OhegEAAAAl,3,8149943.0,King Richard
80,GYKa28QwIF8NomgEAAABL,5,3494409.0,Pacific Rim
81,GYw48owR8pBbDwwEAAAh0,7,5969219.0,DC League of Super-Pets
82,GYLj_pwCqzwijjwEAAADY,4,6422202.0,White Chicks (Unrated & Uncut)
83,GYVeCIAJuVLfCIgEAAABV,7,2325377.0,Martin
84,GYOiavAjigxOXUQEAAAXb,5,2752346.0,Dracula Untold
85,GYptg9wzmqLevngEAAAAC,2,2526735.0,The Rehearsal
86,GYGblLA0E-cNMCwEAAAAa,5,4282652.0,Beetlejuice
87,GYd9PZAt4esLDJwEAAAAK,1,3376078.0,Nightmare Alley
88,GYqM-cQPaAKeUiwEAAAAC,3,2613769.0,Pretty Little Liars: Original Sin
89,GYf0z_wyIUiisRgEAAAAl,5,3031538.0,The Night House
90,GXouLWwp8MsPDIgEAAAqT,7,3146717.0,Sesame Street
91,GYc3xuwu2x5rCFgEAAALb,3,6525276.0,The Fallout
92,GYd9P0QTRLMLDJwEAAAAP,5,2876212.0,Antlers
93,GXdLWQgqPHKXCPQEAAAxk,7,5647569.0,The Fresh Prince of Bel-Air
94,GYGYKfQwaKLheqwEAAAEC,7,16653954.0,Mortal Kombat
95,GYGQBcwsaCIW2XgEAAAAL,7,1246305.0,Mortal Kombat
96,GYDAnZgCFQ8IJpQEAAAAN,5,15410017.0,Zack Snyder's Justice League
97,GXnzXWA8PcFSpjQEAAATH,1,3870415.0,Doctor Who
98,GYBGr4g3rm0aqkwEAAACd,4,7171479.0,Get Hard
99,GYrIprARPDYyFwwEAAAAE,7,1875499.0,Rap Sh!t
100,GYOSUnARCGWWmcAEAAAAC,7,13241870.0,Space Jam: A New Legacy
101,GXm_gJg34lp4_wwEAAEZI,7,4376490.0,Teen Titans
102,GYcyguwlW6MLDBAEAAAIr,4,,The Other Woman
103,GYoQ3DQbNZ7jCAAEAAADy,4,2813001.0,The Other Woman
104,GXozhGwOz77DCYwEAABBA,7,4990974.0,Looney Tunes
105,GYM1BXQbxDWqHwgEAAABv,5,4011795.0,The Lost World: Jurassic Park
106,GYhA0QwXRB2quwwEAAACg,1,2783598.0,DMZ
107,GVU2gkAgT4oNJjhsJAUDk,2,4587042.0,The Wire
108,GYoQ20QbgycLDwwEAAAAV,4,3260596.0,The Heat
109,GWPUlwg8AP5hdqgEAAAA9,4,2415605.0,The Accountant
110,GYoakoAc88ojCwgEAAAAP,4,3113333.0,Ride Along
111,GYpd0sACo9rqfUAEAAABf,6,3055488.0,The Bob's Burgers Movie
112,GYLD3_ArixL1sggEAAAHk,2,14036247.0,The White Lotus
113,GXkXIGACM6o-njwEAABv5,5,5523782.0,It Chapter Two
114,GX8auJwgvI5c0wwEAAAAk,7,4302184.0,Courage the Cowardly Dog
115,GYM1B1QloY6m0lwEAAAB1,5,3451640.0,Jurassic Park III
116,GYG9OEApMzVPDfAEAAAAE,5,4265103.0,The Lord of the Rings: The Fellowship of the Ring Extended Edition
117,GX3dOFgSA-4uZmAEAAAAi,2,2795377.0,Industry
118,GYWxDNwOY8omvwgEAAAEf,5,3130244.0,The Hobbit: An Unexpected Journey
119,GWUFY3QmtX6e1iQEAAACP,5,2541077.0,The Incredible Hulk
120,GYROi0AA8XoobiwEAAAAC,7,3434404.0,Shrek the Third
121,GX07ZpgGYrnOVpQEAAAF4,4,3568012.0,Next Friday
122,GYbzvWABDj8LDwgEAAAAp,1,5432415.0,The Last Duel
123,GYN4ywAXUS1OLNgEAAAHg,2,3067893.0,FBOY ISLAND
124,GYbD1_wnm3mDCwgEAAAPM,5,13799321.0,The Matrix: Resurrections
125,GYS_I_wTdDa6NwwEAAAAC,3,2066204.0,Full House
126,GYJn1Ogx__qvDwgEAAAAG,4,1661596.0,The Hangover Part III
127,GYafDvANaBcLDSQEAAAAg,4,2563083.0,The Hangover Part III
128,GXk8fHwihoY7CZgEAACkr,6,2013180.0,Genndy Tartakovsky's Primal
129,GXnEEogAPtp4_wwEAAEvU,5,8379821.0,Suicide Squad
130,GX6QtHQxBD5nCwwEAAAHM,3,6107949.0,Crazy Rich Asians
131,GXdkpqAvyDaXCPQEAADdn,7,5247181.0,The Dark Knight (2008)
132,GVU2cMgPp_VFvjSoJATyY,2,3563145.0,True Blood
133,GX3Uw2AN9CaHCwwEAAALT,1,9238855.0,Titans
134,GX8fnVgocBIZDKQEAAABF,6,3034824.0,JUJUTSU KAISEN
135,GYGbnaQ0VpBfDwwEAAAA-,4,3981744.0,The Hangover Part II
136,GYG9OEAjyvFPDfAEAAAAD,5,3601605.0,The Lord of the Rings: The Two Towers (Extended Edition)
137,GYIjiCAbLFYeedgEAAALM,4,2200861.0,Kick-Ass 2
138,GYnEqqwAqmj3DwwEAAAAD,1,2622872.0,The Card Counter
139,GYeIGRgs-hpuFSgEAAACC,2,2095043.0,The Tourist (LWM)
140,GYGtFSQzACaN3kwEAAAAN,4,2375526.0,The Fast and the Furious: Tokyo Drift
141,GYs9EiAMpNKW_rgEAAAAC,7,2746409.0,Abbott Elementary
142,GYZ9zLAJdzsPCwgEAAAAE,7,2911600.0,Alvin and the Chipmunks
143,GYJ6qEgHoVqUOrgEAAAKU,4,3029841.0,Fast & Furious 6
144,GXk2bjADLDp4_wwEAAAUc,7,3684502.0,The Lego Batman Movie
145,GWIeb3gOZ7MMjXQEAAACW,6,2880930.0,American Psycho
146,GYFE2Tg8P-76tMQEAAAAS,2,3038282.0,Made For Love
147,GX9q5dgf0LMILwgEAAAF0,5,7566996.0,Ready Player One
148,GYZ1SZwrtOrZElQEAAAAb,2,1755052.0,Somebody Somewhere
149,GX9q5dgUGL8ILwgEAAAFw,5,5808963.0,Rampage
150,GXcnTGwGNYSRMwgEAAAGK,6,3082869.0,Robot Chicken
151,GXdu2ZAglVJuAuwEAADbA,5,6095021.0,The Lord of the Rings: The Fellowship of the Ring
152,GXLSyOgzhz8N8owEAAAAL,5,2148436.0,Robin Hood (2018)
153,GYGP7iQQpJYC6twEAAAEu,4,3274101.0,Horrible Bosses 2
154,GYp4MpAPtALoDwwEAAAAq,2,2023072.0,Mind Over Murder
155,GYfhwiwlBDcLDwwEAAABQ,6,856077.0,Whose Line Is It Anyway?
156,GYGOrjQfhvKCWowEAAAAE,5,4079440.0,Joker
157,GX07YUgXYUXOVpQEAAAEz,4,3328381.0,Friday After Next
158,GYa6JYAMB9KfDcgEAAABG,5,2057626.0,Riddick
159,GYXBzKw3n5aJmOwEAAAAE,2,6619330.0,The Sex Lives of College Girls
160,GYEZm4Qn1r7CgYgEAAAAb,4,3187487.0,Goodfellas
161,GYagoyQwsSZfCwgEAAAAD,1,2985683.0,Pennyworth: The Origin of Batman's Butler
162,GYL_Z7AW4ppXCCQEAAADa,4,4547427.0,The Hangover
163,GXbGBEw3y6pGYoAEAAAVc,7,1942282.0,Steven Universe
164,GYZWoOQ6F9cLDCAEAAABP,1,4898261.0,Station Eleven
165,GYbvoqgoeYawYwwEAAAAN,7,2772413.0,Injustice
166,GYCwLmAtfyLDDGgEAAAAJ,5,3422451.0,The Lord of the Rings: The Return of the King (Extended Edition)
167,GX8VcRQca5sLDbAEAAAD-,7,2349735.0,Batman: The Animated Series
168,GXk2biwjpCDC3wwEAAAas,5,4199174.0,The Hobbit: The Battle of the Five Armies
169,GXrHanAQBunUYOAEAAAB3,6,4148524.0,Spirited Away
170,GV7xdwg1cosPDWwEAAABT,7,4655778.0,Insecure
171,GXoZVkwh6YrLCwgEAAACJ,7,3202666.0,Tom and Jerry
172,GX9v1Ig7cnhoQwgEAAAAC,5,5624030.0,Geostorm
173,GYQFuQQ6Ira60hQEAAAB2,5,2800324.0,Divergent
174,GYJB-UAPXG4rDKgEAAAAC,5,5468854.0,Shazam!
175,GYJWdiAedXWDDwgEAAABA,4,1809433.0,American Sniper
176,GYPH_IAJTJKaVTAEAAABy,5,4044376.0,Transformers
177,GYY1D2wq6KC92wgEAAAAU,5,2366111.0,2 Guns
178,GYS_1DQ3ANK29TgEAAAAg,2,3356516.0,"The Way Down: God, Greed, and the Cult of Gwen Shamblin"
179,GVU2bpwOunINJjhsJATsb,4,3194073.0,Band of Brothers
180,GYm0w5wSRXaTDYQEAAAD4,1,2387661.0,Last Night In Soho
181,GYmrTxAWpCl3DMgEAAAAC,2,1898576.0,George Carlin's American Dream
182,GYhaucgZnkLtZpAEAAAAC,2,1341955.0,The Baby
183,GYGa0mwMDVcPDwwEAAAFK,4,2134056.0,Lone Survivor
184,GYDQXMgVDW8LDGgEAAAAF,7,3719154.0,The Dark Knight Rises
185,GXrHR0QRNbnUYOAEAAABB,6,3296067.0,Howl's Moving Castle
186,GWt7vKAJzFri8vQEAAAKm,5,4924565.0,It
187,GXtf0UwTqw8JHjQEAAAbT,7,6621594.0,Scoob!
188,GVU2fLgkp0lFvjSoJAT_x,2,2199978.0,Veep
189,GXebONASZ8sPCwwEAAD_C,7,2457217.0,Scooby-Doo Where Are You!
190,GYK0DcgxUPqrCwgEAAAAn,5,3906864.0,San Andreas (2015)
191,GXioWcw71mretvAEAAAD-,4,2409665.0,Dodgeball: A True Underdog Story
192,GXrHpPQvjhomBSgEAAAAZ,5,4219461.0,The Hobbit: The Desolation of Smaug
193,GYO2jXAXCRoMqsQEAAAgv,4,4071922.0,Horrible Bosses
194,GYEkLVAeovrHCwgEAAAAW,3,2279055.0,The Nanny
195,GYW8XhA7iuq27iQEAAAHT,4,1623799.0,The House
196,GYS_3hgKL_avCwwEAAAAe,2,7045445.0,The Many Saints Of Newark
197,GYhfK9AxT1KKnnQEAAADT,3,1793976.0,Moonshot
198,GYF4TjQOX7MLCOQEAAAJ-,5,2060125.0,47 Ronin
199,GYtBD7wfMgnmangEAAAkf,4,2366275.0,Hot Tub Time Machine
200,GYtn7AgK7b8LCwgEAAAwa,2,2388963.0,The Princess
201,GXvuNTw6T2IaEUwEAAAT-,5,5617649.0,Batman V Superman: Dawn of Justice
202,GYOYX9gphVFOLNgEAAAQR,5,3592396.0,The Conjuring: The Devil Made Me Do It
203,GYf0-iQ1eoRKojgEAAAAC,3,2435562.0,West Side Story
204,GXxiTeAijaTFAlwEAAADX,3,2599204.0,Selena + Chef
205,GXSyqxwTkf5VLqQEAABoa,5,2614549.0,The Day After Tomorrow
206,GVU2g_AGQXI7DwvwIAUSp,2,1922159.0,Entourage
207,GX5tdIgP5ILrCwgEAAADH,3,1537166.0,The Middle
208,GX2zTGQW_S8NYwwEAAALK,5,4973685.0,Man of Steel
209,GYKaqKAeYn6S1oAEAAABt,5,2337694.0,Godzilla: King of the Monsters
210,GYnG0mQrJsxuLwgEAAADe,2,1633228.0,Rich & Shameless
211,GX5nwgQDNJZ6aoQEAAAHJ,2,1485108.0,The West Wing
212,GYfiBmALoIU5OwwEAAACw,3,951627.0,Degrassi: The Next Generation
213,GXdu2RQwR0JuAuwEAADZ5,5,3394755.0,The Goonies
214,GYGuJ2wj2VpuzeQEAAAAF,5,3797462.0,R.I.P.D.
215,GXJvkMAU0JIG6gAEAAAIo,2,3932290.0,Chernobyl
216,GXdu2ZAb9oJuAuwEAADa9,7,3850583.0,Scooby-Doo
217,GX-Tu4ge5qAexgwEAAABd,7,2731201.0,The Grim Adventures of Billy & Mandy
218,GYQfFugQ_-MLDwwEAAAAP,4,1509767.0,This Is Where I Leave You
219,GX9KHPw1OIMPCJgEAAAAD,5,16086595.0,Wonder Woman 1984
220,GXyINuQrm9o6vcwEAAAFE,3,2591222.0,Miss Congeniality
221,GYGJAwgdTR0zCwwEAAABM,5,2274267.0,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn)
222,GXeOM3Q7qcZuAuwEAADwo,7,3193075.0,Batman Begins
223,GXbIIxQb4npGYoAEAAAch,7,1152722.0,Craig of the Creek
224,GYGQHkQKmf6UEpwEAAAAD,4,4811614.0,Rush Hour
225,GYICZAQTd4qopsQEAAAEi,1,2859472.0,Superman & Lois
226,GX8_d8QZmqYudbQEAAAC1,7,3129095.0,"Ed, Edd n Eddy"
227,GYdhCXgGwFIeXwgEAAAAC,6,1858483.0,The French Dispatch
228,GX-IlUgib1sIdmgEAAABv,5,4662248.0,Mad Max: Fury Road
229,GXI-WvQqTfKuWIwEAAAAC,2,1045982.0,Gentleman Jack
230,GYQFtyQxJ5MLCwwEAAABY,2,1398872.0,Black Mass
231,GYgrQ-Awx0zQuHQEAAAAC,4,1762066.0,Kick-Ass
232,GYBmgpwLcl0OLlAEAAAAX,3,2713118.0,13 Going on 30
233,GYXhKzAbBH7GzIwEAAAJG,3,1030698.0,One Tree Hill
234,GX-nzMw1oyZHDwwEAAAN3,3,2866520.0,The Notebook
235,GXbCIvwTBr3epwwEAAAJj,6,2025429.0,Aqua Teen Hunger Force
236,GYnQlhAi63jEvfwEAAAK6,4,1607038.0,Delivery Man
237,GVWIojg4qrMJtGzYJAAXw,3,2300207.0,My Big Fat Greek Wedding
238,GYWxDpQN9Hb47wwEAAAFI,5,2818742.0,Percy Jackson: Sea of Monsters
239,GYGT8zAx-rsLDcwEAAAAs,3,2207896.0,The Vampire Diaries
240,GYiYW1gEfPke9GQEAAAFB,2,1471258.0,Tony Hawk: Until the Wheels Fall Off
241,GW09xJAYCEpFDwgEAAADf,5,3713007.0,The Mummy
242,GYHDtoQijh8LDwgEAAAAC,5,3000495.0,The Purge
243,GXdu2VggtgZuAuwEAADan,5,3737041.0,Constantine(2005)
