#,HBO MAX Title ID,Series Title (Long),Content Category,Production Budget,WBD Marketing Budget,Licensor,A24,New Line,Summit,Searchlight,Start Date,Length (mo),Revenue,Start Date,Length (mo),Window 1 Licensor,Start Date,Length (Mo),Revenue,Window 2 Licensor,Start Date,Length (Mo),Revenue,Window 3 Licensor,Start Date,Length (Mo),Revenue,Start Date,Length (mo),Volume,Revenue,Start Date,Length (mo),Volume,Revenue,Start Date,Length (mo),Volume,Revenue
1,GYJH0ywjHJsPCTQEAAAB0,2047: Sights of Death,movie,,,"[
  ""AMBI Pictures"",
  ""Red New Line"",
  ""Canal+""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,GYr22VwVeNniVwwEAAAAM,50/50,movie,,,"[
  ""Summit Entertainment"",
  ""Point Grey"",
  ""Metropolitan Filmexport"",
  ""Film1"",
  ""Mandate Pictures"",
  ""Point Grey Pictures"",
  ""Entertainment One""
]",0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,GYsgbcAryPGB2wgEAAAAC,A Ghost Story,movie,,,"[
  ""A24 Films""
]",1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,GYJ54lwm83zynLQEAAAAC,A History of Violence,movie,,,"[
  ""New Line""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,GYM39nw0cY4erwwEAAAAS,A United Kingdom,movie,,,"[
  ""Yoruba Saxon Prods."",
  ""British Film Institute"",
  ""Pathé"",
  ""Fox Searchlight Pictures"",
  ""BBC Films"",
  ""Ingenious Media"",
  ""Film United"",
  ""Feelgood Entertainment"",
  ""Canal Plus"",
  ""Harbinger Pictures"",
  ""British Broadcasting Corp."",
  ""Pathe Productions Ltd."",
  ""Perfect Weekend""
]",0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,GYGIJOw22xMNIbgEAAABE,About Schmidt,movie,,,"[
  ""New Line Cinema"",
  ""Michael Besman/Harry Gittes Production""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GY7SGbgLrwMPDwgEAAAir,Bodies Bodies Bodies,movie,,,"[
  ""A24"",
  ""2AM""
]",1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,GYGbliAIoO6-skgEAAAAu,Boiler Room,movie,,,"[
  ""New Line Cinema""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,GYx8Ahg3xWqfDXwEAAAA5,C'mon C'mon,movie,,,"[
  ""A24""
]",1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,GYpUGOQuc6sLDBgEAAABG,Climax,movie,,,"[
  ""Wild Bunch International"",
  ""Vice Media"",
  ""Les Cinemas de la Zone"",
  ""Rectangle Productions"",
  ""A24"",
  ""Wild Bunch Distribution"",
  ""Arte France Cinéma"",
  ""Eskwad"",
  ""Artemis Productions""
]",1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,GYQFuOACrk8LCwwEAAACu,Deepwater Horizon,movie,,,"[
  ""Summit Entertainment"",
  ""Participant""
]",0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,GYWgsZw8FNhmKiwEAAABn,Domino,movie,,,"[
  ""Nordisk Film"",
  ""New Line Home Entertainment"",
  ""New Line Cinema"",
  ""Scott Free Productions"",
  ""Metropolitan Filmexport"",
  ""Davis Films"",
  ""Bioscop"",
  ""Scott Free""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,GYGLZhgtYo1iPYQEAAABw,Don Juan DeMarco,movie,,,"[
  ""American Zoetrope Production"",
  ""New Line Productions""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,GZIHeiwFQOFK9vQEAAAUV,Emily the Criminal,movie,,,"[
  ""New Line Cinema"",
  ""Low Spark Films""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,GZJrONAIWo7DCLQEAAA7T,Everything Everywhere All at Once,movie,,,"[
  ""A24"",
  ""IAC Films"",
  ""AGBO""
]",1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,GY00Vww4usbqYkwEAAAFV,False Positive,movie,,,"[
  ""Hulu"",
  ""A24""
]",1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,GZJrN-AFtU06aKQEAAA77,First Cow,movie,,,"[
  ""A24"",
  ""Film Science"",
  ""IAC Films"",
  ""Scott Rudin Productions""
]",1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,GZO4fBwQUmIu7uAEAAAAa,First Reformed,movie,,,"[
  ""A24"",
  ""Killer Films"",
  ""Arclight Films"",
  ""Omeira Studio Partners"",
  ""Fibonacci Films"",
  ""Arclight Films International""
]",1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,GYJWd2Q2Tj8PCwgEAAAB3,Fist Fight,movie,,,"[
  ""RatPac-Dune Entertainment"",
  ""Village Roadshow Pictures"",
  ""New Line Cinema""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,GZA8uNgp3YZSgigEAABGo,Funny Pages,movie,,,"[
  ""A24""
]",1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,GYK0FNAd52b2ElQEAAABP,Game Night,movie,,,"[
  ""New Line Cinema"",
  ""Davis Entertainment"",
  ""Aggregate Films""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,GYQFvlgidZ660hQEAAACs,Gods of Egypt,movie,,,"[
  ""Pyramania"",
  ""Summit Entertainment""
]",0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,GY8FYvAl506-1mgEAAArj,"Good Luck to You, Leo Grande",movie,,,"[
  ""Hulu"",
  ""Searchlight Pictures"",
  ""Genesius Pictures"",
  ""Cornerstone Films"",
  ""Align""
]",0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,GYt6pbAEssZHCwwEAAAAM,Havoc,movie,,,"[
  ""Jack F. Murphy/Sammy Lee"",
  ""New Line Cinema"",
  ""Media 8 Entertainment"",
  ""New Line"",
  ""Jack F Murphy"",
  ""Sammy Lee"",
  ""The Works Uk Distribution"",
  ""Imagem Filmes"",
  ""KNM Home Entertainment"",
  ""Vip Medienfonds (Germany)""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,GYGdGYQr-lZc2NAEAAALq,Hoot,movie,,,"[
  ""New Line Cinema"",
  ""Walden Media""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,GZOXlfwfbusMrwwEAAAcG,Hot Pursuit,movie,,,"[
  ""Metro-Goldwyn-Mayer"",
  ""New Line Cinema"",
  ""Warner Bros Pictures"",
  ""Warner Home Video"",
  ""Warner Bros."",
  ""Pacific Standard"",
  ""MGM Studios"",
  ""Foxy""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,GXwOYEAypSMMxPQEAAAAD,House Party,movie,,,"[
  ""New Line Cinema"",
  ""HBO Max"",
  ""Springhill Company Production""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,GV-BPaQSKT8JMwwEAAACP,How To Be Single,movie,,,"[
  ""New Line Cinema"",
  ""Metro-Goldwyn-Mayer""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,GZBNExw5Pu5fDVQEAABIm,In Love and War,movie,,,"[
  ""New Line Productions"",
  ""New Line Home Entertainment"",
  ""Metropolitan Filmexport"",
  ""In Association With Dimitri Villard Productions"",
  ""Dimitri Villard Productions"",
  ""Warner Home Video"",
  ""Entertainment Film Distributors"",
  ""New Line Cinema""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,GYGQLpwG6JkQTOgEAAAAG,In the Mouth of Madness,movie,,,"[
  ""New Line Cinema"",
  ""Metropolitan Filmexport"",
  ""Katja Motion Picture Corporation"",
  ""Warner Home Video""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,GYIjh8AKo1pGxLwEAAAKT,It Comes at Night,movie,,,"[
  ""Mars Distribution"",
  ""Roadshow Films"",
  ""ANIMAL KINGDOM"",
  ""A24""
]",1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,GXtZ0GAMvfMPCwgEAAABv,John Q,movie,,,"[
  ""New Line""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,GYMCwIgxlnoe7vwEAAAAI,Keanu,movie,,,"[
  ""Warner Home Video"",
  ""Detroit Pictures"",
  ""RatPac Entertainment"",
  ""Monkey Paw/Detroit Pictures"",
  ""Monkeypaw Productions"",
  ""New Line Cinema"",
  ""Warner Bros.""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,GYIjckQahooeedgEAAABi,Knockaround Guys,movie,,,"[
  ""New Line Cinema"",
  ""Lawrence Bender Production""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,GZOXlzwwgzZaQVgEAAAeC,Koyaanisqatsi,movie,,,"[
  ""Institute for Regional Education"",
  ""MGM Studios"",
  ""Folkets Bio"",
  ""MGM Home Entertainment"",
  ""Image Entertainment"",
  ""New Line Cinema""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,GYd6fegaNu4G-wgEAAAfe,La Vie En Rose,movie,,,"[
  ""TF1 FILMS"",
  ""New Line""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,GYGdcDQfa7Lm2wgEAAAQg,Last Man Standing,movie,,,"[
  ""Lone Wolf Film"",
  ""Arthur Sarkissian Production"",
  ""New Line Cinema""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,GYIjcnwBLS7K9wgEAAABu,Life As A House,movie,,,"[
  ""New Line Cinema"",
  ""Avery Pix""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,GYPuuggkKbwqlwgEAAABC,Life of the Party,movie,,,"[
  ""New Line Cinema"",
  ""Warner Bros."",
  ""On the Day""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,GWZsaUQkr0bXCLwEAAABn,Lights Out,movie,,,"[
  ""New Line Cinema"",
  ""RatPac-Dune Entertainment"",
  ""Grey Matter Productions"",
  ""Atomic Monster""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,GYPW0-A4V68MloQEAAAEX,Little Nicky,movie,,,"[
  ""New Line Cinema"",
  ""RSC Media"",
  ""Avery Pix"",
  ""Happy Madison""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,GYGdydwuQTMMfwwEAAACJ,Lost Souls,movie,,,"[
  ""New Line Cinema"",
  ""Prufrock Pictures""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,GY00UMwpMk5C_wwEAAAFe,Low Tide,movie,,,"[
  ""Odenkirk Provissiero"",
  ""Mister Smith Entertainment"",
  ""Neighborhood Watch"",
  ""Odenkirk Provissiero Entertainment"",
  ""Automatik"",
  ""A24 Films"",
  ""Head Gear Films"",
  ""A24""
]",1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,GXrQWiQPZl77DwgEAAABw,Magnolia,movie,,,"[
  ""New Line Cinema""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,GZK1kwARcEcPCLwEAAB4M,Marcel the Shell with Shoes On,movie,,,"[
  ""A24""
]",1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,GYGdylwnEScIVSQEAAAAb,Martian Child,movie,,,"[
  ""New Line Cinema""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,GY4izegD_yKaHgQEAAAQq,Men,movie,,,"[
  ""DNA Films"",
  ""A24""
]",1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,GYGiRjAnLpjassQEAAAAo,Menashe,movie,,,"[
  ""A24"",
  ""Mongrel Media"",
  ""Maiden Voyage Pictures"",
  ""Sophie Dulac Distribution"",
  ""Shtick Film"",
  ""Autumn Productions"",
  ""Mindjazz Pictures"",
  ""Maiden Voyage"",
  ""Where's Eve"",
  ""Sparks Next""
]",1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,GYh-RzwgoC6_DfgEAAAAD,Midsommar,movie,,,"[
  ""A24""
]",1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,GYF41gQTSdm6-wgEAAAMR,Moonlight,movie,,,"[
  ""A24 DISTRIBUTION LLC""
]",1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,GYKgbnwFR8MMApwEAAAAM,Mortal Kombat: The Journey Begins,movie,,,"[
  ""New Line Cinema""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,GYGQMtAo-HYW2XgEAAADs,Mr. Nice Guy,movie,,,"[
  ""New Line Cinema"",
  ""Golden Harvest""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,GYGQMvgqmx4jDXAEAAAJ9,My Own Private Idaho,movie,,,"[
  ""New Line Cinema"",
  ""Fine Line Features"",
  ""Warner Home Video"",
  ""Idaho Productions""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,GY1ZnkQK4JpZQjgEAAAFn,Naked,movie,,,"[
  ""New Line Cinema"",
  ""Fine Line Features"",
  ""British Screen"",
  ""Warner Home Video"",
  ""Sony Pictures Home Entertainment"",
  ""Film Four International"",
  ""Thin Man Films"",
  ""First Independent"",
  ""Thin Man Productions""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,GYSVFDQdYcW1AigEAAAN9,Now You See Me,movie,,,"[
  ""Summit Entertainment""
]",0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,GZNYJ6AjY1wetOgEAAAAC,Pearl,movie,,,"[
  ""BRON Creative"",
  ""Little Lamb"",
  ""A24""
]",1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,GYJ2XEAqFV74-twEAAAGG,Pride and Glory,movie,,,"[
  ""New Line Cinema"",
  ""Solaris Entertainment"",
  ""O'Connor Brothers Production""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,GX42i2wFVsqDDwwEAAAAF,Rock of Ages,movie,,,"[
  ""Material Pictures"",
  ""New Line Cinema"",
  ""Offspring Entertainment"",
  ""Corner Store Entertainment""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,GYKRS7g0lIJeNKAEAAAAV,Shoot 'Em Up,movie,,,"[
  ""Angry Films"",
  ""New Line Cinema""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,GYrYecQ1HhMPDwwEAAAAC,Snow Flower and the Secret Fan,movie,,,"[
  ""Fox Searchlight Pictures"",
  ""Eagle Pictures"",
  ""Twentieth Century Fox Home Entertainment""
]",0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,GYxpA5AFVF3cpuQEAAAu9,Step Up,movie,,,"[
  ""Touchstone Pictures"",
  ""Summit Entertainment"",
  ""Buena Vista"",
  ""Offspring Entertainment""
]",0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,GYxEOkA8AZHcpuQEAAAmR,Step Up 2: The Streets,movie,,,"[
  ""Summit Entertainment"",
  ""Touchstone Pictures"",
  ""Offspring Entertainment"",
  ""Touch Pictures"",
  ""The Walt Disney Studios""
]",0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,GYRaerQeoqDdFwwEAAAAj,Tag,movie,,,"[
  ""New Line Cinema"",
  ""Broken Road Production""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,GYGKCdA2cHo_DMQEAAABC,The Cell,movie,,,"[
  ""New Line""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,GYGKgtQAs_MIcAQEAAAAD,The Corruptor,movie,,,"[
  ""New Line Cinema"",
  ""Illusion Entertainment Group production"",
  ""James Foley Film""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,GY-zxSQRXnqKZwgEAAAIk,The Death Of Dick Long,movie,,,"[
  ""A24""
]",1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,GYW8XuAgnycPCJwEAAAAD,The Disaster Artist,movie,,,"[
  ""New Line Cinema"",
  ""A24 Good Universe""
]",1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,GYrQ6rg066IaJrAEAAAEA,The Farewell,movie,,,"[
  ""A24"",
  ""Big Beach"",
  ""Depth of Field Productions"",
  ""Kindred Spirit"",
  ""Big Beach Films"",
  ""Depth of Field"",
  ""ADS Service""
]",1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,GXpTQtgV6ax-auwEAABc3,The Good Liar,movie,,,"[
  ""New Line Cinema"",
  ""BRON Creative"",
  ""1000 Eyes Production""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,GY_i8_gJ3FsPDwgEAAA_Y,The Green Knight,movie,,,"[
  ""A24"",
  ""Showtime Networks"",
  ""Bron Studios"",
  ""Sailor Bear"",
  ""Ley Line Entertainment"",
  ""Creative Wealth Media Finance""
]",1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,GYyst8Q3wx61SwwEAAACW,The Humans,movie,,,"[
  ""A24""
]",1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,GYuFN8AWHlL3CaQEAAA06,The Kill Team,movie,,,"[
  ""A24"",
  ""Corner Stone Films"",
  ""Nostromo Pictures"",
  ""Temple Hill Entertainment""
]",1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,GYJ1qmAvgjazDWwEAAAB5,The Killing of a Sacred Deer,movie,,,"[
  ""Screen Ireland"",
  ""A24 Films"",
  ""Irish Film Board"",
  ""Haut et Court"",
  ""Element Pictures"",
  ""Feelgood Entertainment"",
  ""Channel Four Television Corp."",
  ""New Sparta Productions"",
  ""New Sparta Films Limted"",
  ""Ep Sacred Deer Limited"",
  ""Film4"",
  ""Hanway Films"",
  ""Lucky Red""
]",1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,GXhzsZA8cqx_DTgEAAADY,The Kitchen,movie,,,"[
  ""BRON Creative"",
  ""New Line Cinema""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,GYOfdrQUJEsI-wgEAAAUy,The Last Witch Hunter,movie,,,"[
  ""Canton Productions"",
  ""BF Distribution"",
  ""ONE RACE FILMS"",
  ""Goldmann Pictures"",
  ""Summit Entertainment"",
  ""Atmosphere Entertainment MM"",
  ""Entertainment One""
]",0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,GYF4hcA4qAITCwgEAAALQ,The Lighthouse,movie,,,"[
  ""New Regency"",
  ""A24"",
  ""New Regency Pictures"",
  ""RT Features"",
  ""New Regency Productions"",
  ""Parts & Labor"",
  ""Amazon Prime Video""
]",1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,GY3byBgsUiMPCLwEAAAEM,The Man,movie,,,"[
  ""New Line Cinema"",
  ""Fried Films""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,GYGQM-wRot4jDXAEAAAKE,The New World,movie,,,"[
  ""Sunflower Productions LLC"",
  ""Sarah Green Film Corp"",
  ""New Line Cinema""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,GYKa20wrwCLjCQAEAAACP,The Number 23,movie,,,"[
  ""New Line Cinema"",
  ""New Line Home Entertainment"",
  ""Contrafilm"",
  ""Firm Films"",
  ""Warner Home Video""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,GZNuevgZakcMrwwEAAAMd,The Nun II,movie,,,"[
  ""Atomic Monster"",
  ""The Safran Company"",
  ""Warner Bros"",
  ""New Line Cinema""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,GYKa7VgOEd7TCwgEAAAAD,The Rite,movie,,,"[
  ""New Line Cinema"",
  ""Contrafilm""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,GYiDXlgDabmOwaQEAAAAE,The Secret Life of Walter Mitty,movie,,,"[
  ""New Line Cinema"",
  ""20th Century Fox Film Corporation"",
  ""Samuel Goldwyn Films"",
  ""Big Screen Productions"",
  ""Twentieth Century Fox Film Corp."",
  ""Ingenious Media"",
  ""Red Hour Films"",
  ""20th Century Studios"",
  ""Twentieth Century Fox Home Entertainment"",
  ""20th Century Fox Pictures"",
  ""Down Productions""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,GXrHxIweO4a2brQEAAAC7,The Time Traveler's Wife,movie,,,"[
  ""New Line Cinema"",
  ""Plan B Entertainment"",
  ""Nick Wechsler Productions""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,GY00Sewnn6pC_wwEAAAFc,Val,movie,,,"[
  ""A24"",
  ""Amazon Studios"",
  ""Boardwalk Pictures"",
  ""Cartel Film Production""
]",1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,GXk2j4Arr-I7CZgEAACRd,Willard,movie,,,"[
  ""Hard Eight Pictures Production"",
  ""New Line Cinema""
]",0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,GY4oSLgFd-EG9tAEAAAOo,X,movie,,,"[
  ""A24""
]",1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,GYk7_Hwa5mL61wwEAAAAO,Zola,movie,,,"[
  ""Gigi Films"",
  ""A24"",
  ""Killer Films"",
  ""Ramona Films""
]",1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,GYc3xuwu2x5rCFgEAAALb,The Fallout,movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,GYeB2LgKJ1cIOjAEAAABQ,Kimi,movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,GYMzEGg049ruJvQEAAAAW,No Sudden Move,movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,GYhfK9AxT1KKnnQEAAADT,Moonshot,movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,GYtUdUQtVN3mangEAAAox,Eraser: Reborn,movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,GY1_uNgldOTqGwwEAAABU,A Hollywood Christmas,movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,GY2P7nwk70IGhwwEAAADH,Holiday Harmony,movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,GY2QUhg4BOJ_DwgEAAAD-,A Christmas Mystery,movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,GXtf0UwTqw8JHjQEAAAbT,Scoob!,movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,GX5A8JQnSPQ2QFgEAAAAC,Roald Dahl’s The Witches,movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,GX_3YsgTKcK_CSwEAAAAp,Locked Down,movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,