Movie,Cast
8-Bit Christmas,Neil Patrick Harris
8-Bit Christmas,June Diane Raphael
8-Bit Christmas,Steve Zahn
A Boy Called Christmas,Henry Lawfull
A Boy Called Christmas,Kristen Wiig
A Boy Called Christmas,Maggie Smith
A Castle For Christmas,Brooke Shields
A Castle For Christmas,Cary Elwes
California Xmas: City Lights,Josh Swickard
California Xmas: City Lights,Lauren Swickard
California Xmas: City Lights,Amanda Detmer
Father Christmas Is Back,Elizabeth Hurley
Father Christmas Is Back,April Bowlby
Father Christmas Is Back,Kelsey Grammer
Home Sweet Home Alone,Rob Delaney
Home Sweet Home Alone,Ellie Kemper
Home Sweet Home Alone,Archie Yates
Love Hard,Nina Dobrev
Love Hard,Harry Shum Jr.
Love Hard,Jimmy O. Yang
Princess Switch 3,Vanessa Hudgens
Princess Switch 3,Sam Palladio
Princess Switch 3,Remi Hii
Single All The Way,Jennifer Coolidge
Single All The Way,Kathy Najimy
Single All The Way,Michael Urie